task_id,task_name,Average_distance
105,46442a0e,0.307400932
106,469497ad,0.590277968
107,46f33fce,0.352640179
108,47c1f68c,0.327362661
109,484b58aa,0.348044097
110,48d8fb45,0.412625418
111,4938f0c2,0.440422078
112,496994bd,0.467250712
113,49d1d64f,0.473467022
114,4be741c5,0.286595797
115,4c4377d9,0.428549504
116,4c5c2cf0,0.293557692
117,50846271,0.299666709
118,508bd3b6,0.25
119,50cb2852,0.874418078
120,5.12E+65,0.344444444
121,5168d44c,0.520423041
122,539a4f51,0.165877135
123,53b68214,0.31110716
124,543a7ed5,0.372307692
125,54d82841,0.421666667
126,54d9e175,0.630948004
127,5521c0d9,0.302073733
128,5582e5ca,0.495833333
129,5614dbcf,0.254967949
130,56dc2b01,0.578145096
131,56ff96f3,0.277586207
132,57aa92db,0.575141117
133,5ad4f10b,0.658632479
134,5bd6f4ac,0.593094607
135,5c0a986e,0.216020408
136,5c2c9af4,0.187037435
137,5daaa586,0.300491474
138,60b61512,0.469791667
139,6150a2bd,0.228174887
140,623ea044,0.397983683
141,62c24649,0.698690476
142,63613498,0.471765642
143,6430c8c4,0.259295355
144,6455b5f5,0.245975128
145,662c240a,0.264013755
146,67385a82,0.25726912
147,673ef223,0.376411853
148,6773b310,0.497907648
149,67a3c6ac,0.43422619
150,67a423a3,0.44518163
151,67e8384a,0.311609687
152,681b3aeb,0.468464052
153,6855a6e4,0.396625384
154,68b16354,0.61456044
155,694f12f3,0.364112903
156,6a1e5592,0.338135823
157,6aa20dc0,0.397252322
158,6b9890af,0.331150794
159,6c434453,0.366095162
160,6cdd2623,0.167023273
161,6cf79266,0.821111111
162,6d0160f0,0.417915121
163,6d0aefbc,0.370915033
164,6d58a25d,0.561920849
165,6d75e8bb,0.322664835
166,6e02f1e3,0.300432014
167,6e19193c,0.537679211
168,6e82a1ae,0.421180701
169,6ecd11f4,0.546626984
170,6f8cd79b,0.257531823
171,6fa7a44f,0.377731113
172,72322fa7,0.359675926
173,72ca375d,0.402777778
174,73251a56,0.280330882
175,7447852a,0.439667277
176,7468f01a,0.666666667
177,746b3537,0.201504847
178,74dd1130,0.480263158
179,75b8110e,0.465831787
180,760b3cac,0.394166667
181,776ffc46,0.296345811
182,77fdfe62,0.322598162
183,780d0b14,0.33375
184,7837ac64,0.330116959
185,794b24be,0.301297726
186,7b6016b9,0.396480331
187,7b7f7511,0.263105904
188,7c008303,0.19625018
189,7ddcd7ec,0.356672095
190,7df24a62,0.240446391
191,7e0986d6,0.37099359
192,7f4411dc,0.78333676
193,7fe24cdd,0.352609281
194,80af3007,0.933760684
195,810b9b61,0.237247475
196,82819916,0.773190818
197,83302e8f,0.852688172
198,834ec97d,0.220223064
199,8403a5d5,0.932758621
200,846bdb03,0.337243353
201,855e0971,0.194613676
202,85c4e7cd,0.25052521
